,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sample_type,max_torque_rpm
222,maruti alto,2014,229999,60000,Petrol,Individual,Manual,Second Owner,20.92,998,67.1,90.0,5,TEST,3500.0
223,maruti swift,2016,535000,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,190.0,5,TEST,2000.0
224,hyundai xcent,2014,450000,46000,Petrol,Individual,Manual,Second Owner,19.1,1197,81.86,113.75,5,TEST,4000.0
225,maruti ciaz,2014,560000,90000,Diesel,Individual,Manual,Second Owner,26.21,1248,88.5,200.0,5,TEST,1750.0
226,nissan micra,2011,200000,43500,Petrol,Individual,Manual,Second Owner,18.06,1198,75.0,104.0,5,TEST,4000.0
227,ford ecosport,2015,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,205.0,5,TEST,3250.0
228,maruti alto,2011,210000,46000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,90.0,5,TEST,3500.0
229,maruti alto,2014,235000,25000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69.0,5,TEST,3500.0
230,maruti ertiga,2017,750000,50000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,200.0,7,TEST,1750.0
231,hyundai grand,2018,540000,30000,Diesel,Individual,Manual,First Owner,24.0,1186,73.97,190.24,5,TEST,2250.0
232,mahindra scorpio,2012,370000,120000,Diesel,Individual,Manual,Second Owner,13.5,2179,115.0,277.5,5,TEST,2200.0
233,maruti swift,2014,430000,90000,Diesel,Individual,Manual,First Owner,22.9,1248,74.0,190.0,5,TEST,2000.0
234,maruti sx,2016,675000,52000,Diesel,Individual,Manual,First Owner,23.65,1248,88.5,200.0,5,TEST,1750.0
235,hyundai grand,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24.0,1186,73.97,190.24,5,TEST,2250.0
236,tata indica,2008,60000,120000,Diesel,Individual,Manual,Fourth & Above Owner,17.88,1396,52.8,85.0,5,TEST,2500.0
237,honda city,2011,350000,93500,Petrol,Dealer,Manual,Third Owner,17.0,1497,118.0,146.0,5,TEST,4800.0
238,toyota camry,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,213.0,5,TEST,4500.0
239,skoda octavia,2017,1600000,33000,Petrol,Dealer,Automatic,Second Owner,14.7,1798,177.5,250.0,5,TEST,5000.0
240,tata indica,2009,90000,60000,Diesel,Individual,Manual,Second Owner,17.88,1396,52.8,85.0,5,TEST,2500.0
241,renault kwid,2018,335000,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72.0,5,TEST,4386.0
242,honda amaze,2013,425000,70000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,200.0,5,TEST,1750.0
243,ford ecosport,2017,889000,25000,Petrol,Individual,Manual,First Owner,17.0,1497,121.31,150.0,5,TEST,4500.0
244,skoda kodiaq,2018,3251000,17601,Diesel,Dealer,Automatic,First Owner,16.25,1968,148.0,340.0,7,TEST,3000.0
245,maruti alto,2019,380000,14000,Petrol,Individual,Automatic,First Owner,23.95,998,67.05,90.0,5,TEST,3500.0
246,maruti alto,2015,300000,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69.0,5,TEST,3500.0
247,hyundai i,2009,150000,110000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,111.7,5,TEST,4000.0
248,maruti ertiga,2013,600000,60000,Diesel,Individual,Manual,First Owner,20.77,1248,88.8,200.0,7,TEST,1750.0
249,toyota innova,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494,100.6,200.0,7,TEST,3600.0
250,toyota innova,2009,525000,217000,Diesel,Individual,Manual,Fourth & Above Owner,12.8,2494,102.0,200.06279999999998,8,TEST,3400.0
251,hyundai verna,2014,575000,106000,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,259.8,5,TEST,2750.0
252,maruti swift,2017,655000,70000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190.0,5,TEST,2000.0
253,tata safari,2015,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,320.0,7,TEST,3000.0
254,hyundai verna,2010,250000,190000,Diesel,Individual,Manual,Third Owner,16.2,1493,110.0,235.368,5,TEST,2750.0
255,mahindra scorpio,2014,655000,50000,Diesel,Individual,Manual,Second Owner,14.0,2523,75.0,200.0,9,TEST,2200.0
256,tata new,2009,150000,90000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.1,320.0,7,TEST,2700.0
257,tata safari,2014,521000,86000,Diesel,Individual,Manual,Second Owner,14.0,2179,138.1,320.0,7,TEST,2700.0
258,renault kwid,2016,300000,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72.0,5,TEST,4386.0
259,tata tiago,2019,525000,9200,Petrol,Individual,Automatic,First Owner,23.84,1199,83.83,114.0,5,TEST,3500.0
260,ford ecosport,2015,599000,92651,Diesel,Dealer,Manual,First Owner,21.7,1498,98.96,215.0,5,TEST,2500.0
261,ford figo,2017,600000,30000,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,215.0,5,TEST,3000.0
262,hyundai verna,2011,475000,80000,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,259.8,5,TEST,2750.0
263,hyundai elite,2019,600000,10000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,117.0,5,TEST,4000.0
264,maruti std,2006,114999,59000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,59.0,4,TEST,2500.0
265,honda civic,2009,220000,125000,Petrol,Individual,Manual,Second Owner,13.5,1799,130.0,172.0,5,TEST,4300.0
266,mahindra bolero,2011,340000,100000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,180.0,7,TEST,1500.0
267,tata tiago,2018,350000,50000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,114.0,5,TEST,3500.0
268,hyundai eon,2017,320000,15000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5,5,TEST,4000.0
269,jaguar xf,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,430.0,5,TEST,2500.0
270,jaguar xf,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,430.0,5,TEST,2500.0
271,renault fluence,2011,600000,43000,Petrol,Dealer,Automatic,First Owner,13.4,1997,135.1,190.0,5,TEST,3700.0
272,maruti ertiga,2016,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,200.0,7,TEST,1750.0
273,renault kwid,2016,270000,30000,Petrol,Individual,Manual,Third Owner,23.01,999,67.0,91.0,5,TEST,4250.0
274,ford ecosport,2018,950000,27620,Diesel,Dealer,Manual,First Owner,22.77,1498,98.59,205.0,5,TEST,3250.0
275,ford ecosport,2017,570000,31596,Petrol,Dealer,Manual,First Owner,17.0,1497,121.36,150.0,5,TEST,4500.0
276,honda city,2017,1100000,20000,Petrol,Individual,Automatic,First Owner,18.0,1497,117.6,145.0,5,TEST,4600.0
277,mahindra xuv,2012,700000,60000,Diesel,Individual,Manual,Second Owner,15.1,2179,140.0,330.0,7,TEST,2800.0
278,tata indigo,2015,350000,52000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,135.0,5,TEST,2500.0
279,hyundai i,2015,650000,80000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7,5,TEST,2750.0
280,tata manza,2013,260000,189000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,200.0,5,TEST,3000.0
281,renault duster,2012,500000,110000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,248.0,5,TEST,2250.0
282,honda jazz,2018,680000,8576,Petrol,Dealer,Manual,First Owner,18.7,1199,88.7,110.0,5,TEST,4800.0
283,honda jazz,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,110.0,5,TEST,4800.0
284,hyundai i,2008,120000,93331,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,99.04,5,TEST,4500.0
285,hyundai i,2008,130000,30000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,99.04,5,TEST,4500.0
286,mahindra bolero,2017,690000,60000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,195.0,7,TEST,2200.0
287,volkswagen polo,2010,210000,44500,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,110.0,5,TEST,3750.0
288,toyota innova,2011,750000,291000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,200.06279999999998,7,TEST,3400.0
289,honda jazz,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,110.0,5,TEST,4800.0
290,maruti swift,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,113.0,5,TEST,4200.0
291,hyundai grand,2014,400000,60000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,114.0,5,TEST,4000.0
292,maruti sx,2017,600000,100000,Diesel,Individual,Manual,First Owner,23.65,1248,88.5,200.0,5,TEST,1750.0
293,tata indigo,2013,175000,120000,Diesel,Individual,Manual,First Owner,19.09,1396,69.0,135.0,5,TEST,2500.0
294,honda jazz,2016,500000,30000,Diesel,Individual,Manual,First Owner,27.3,1498,98.6,200.0,5,TEST,1750.0
295,hyundai santro,2003,85000,68300,Petrol,Individual,Manual,Third Owner,19.3,1248,82.0,170.0,5,TEST,3000.0
296,maruti swift,2012,425000,56000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,190.0,5,TEST,2000.0
297,maruti ertiga,2014,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373,93.7,130.0,7,TEST,4000.0
298,tata new,2011,229999,140000,Diesel,Individual,Manual,Second Owner,11.57,2179,138.1,320.0,7,TEST,2700.0
299,jaguar xf,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,430.0,5,TEST,2500.0
300,mahindra xuv,2015,1147000,56975,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,330.0,7,TEST,2800.0
301,bmw x,2013,3750000,56000,Diesel,Dealer,Automatic,First Owner,11.2,2993,241.0,540.0,4,TEST,2000.0
302,renault duster,2015,484999,75000,Diesel,Dealer,Manual,First Owner,19.87,1461,83.8,200.0,5,TEST,1750.0
303,maruti ac,2009,125000,80000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,59.0,4,TEST,2500.0
304,mahindra bolero,2017,675000,70000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,195.0,7,TEST,2200.0
305,nissan terrano,2016,750000,35000,Diesel,Individual,Manual,First Owner,20.45,1461,83.8,200.0,5,TEST,1900.0
306,mahindra bolero,2019,740000,14000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,195.0,7,TEST,2200.0
307,maruti wagon,2004,70000,70000,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,90.0,5,TEST,3500.0
308,maruti swift,2014,465000,90000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,190.0,5,TEST,2000.0
309,maruti wagon,2015,400000,40000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,90.0,5,TEST,3500.0
310,hyundai i,2016,520000,29000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7,5,TEST,4000.0
311,maruti celerio,2014,325000,65204,Petrol,Trustmark Dealer,Automatic,First Owner,23.1,998,67.04,90.0,5,TEST,3500.0
312,honda city,2019,1300000,20000,Petrol,Individual,Automatic,First Owner,17.4,1497,117.6,145.0,5,TEST,4600.0
313,honda brio,2012,265000,60000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,109.0,5,TEST,4500.0
314,ford ecosport,2015,555000,20000,Petrol,Individual,Manual,Second Owner,15.8,1499,110.0,140.0,5,TEST,4400.0
315,hyundai eon,2013,219000,50000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5,5,TEST,4000.0
316,tata indigo,2012,140000,80000,Diesel,Individual,Manual,Fourth & Above Owner,19.09,1396,69.0,135.0,5,TEST,2500.0
317,tata zest,2018,575000,70000,Diesel,Individual,Manual,First Owner,20.65,1248,88.7,190.0,5,TEST,3000.0
318,maruti swift,2015,600000,50000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,190.0,5,TEST,2000.0
319,hyundai xcent,2017,550000,70000,Diesel,Individual,Manual,Second Owner,24.4,1120,71.0,180.4,5,TEST,2500.0
320,tata tiago,2017,425000,42000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,114.0,5,TEST,3500.0
321,hyundai creta,2016,890000,40000,Petrol,Dealer,Automatic,First Owner,14.8,1591,121.3,151.0,5,TEST,4850.0
322,maruti swift,2016,520000,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,113.0,5,TEST,4200.0
323,tata indigo,2008,135000,40000,Petrol,Individual,Manual,Fourth & Above Owner,12.85,1396,99.6,124.0,5,TEST,3500.0
324,tata sumo,2016,445000,63000,Diesel,Dealer,Manual,First Owner,15.3,2956,83.8,250.0,9,TEST,2000.0
325,mahindra scorpio,2011,385000,120000,Diesel,Individual,Manual,Second Owner,14.0,2523,75.0,200.0,8,TEST,2200.0
326,skoda rapid,2016,650000,99000,Diesel,Dealer,Automatic,First Owner,21.66,1498,103.52,250.0,5,TEST,2500.0
327,hyundai verna,2015,525000,248000,Diesel,Individual,Manual,First Owner,24.8,1396,88.7,219.7,5,TEST,2750.0
328,ford ecosport,2017,725000,45000,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,205.0,5,TEST,3250.0
329,maruti ertiga,2015,780000,40000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,200.0,7,TEST,1750.0
330,maruti zen,1999,50000,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993,60.0,78.0,5,TEST,4500.0
331,maruti swift,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,113.0,5,TEST,4200.0
332,maruti alto,2011,140000,50000,Petrol,Individual,Manual,Third Owner,20.92,998,67.1,90.0,5,TEST,3500.0
333,tata indica,2008,100000,40000,Diesel,Individual,Manual,First Owner,16.8,1405,62.0,122.5875,5,TEST,2500.0
334,chevrolet aveo,2007,100000,60000,Petrol,Individual,Manual,Third Owner,14.7,1150,76.0,109.8384,5,TEST,4400.0
335,maruti baleno,2015,600000,70000,Diesel,Individual,Manual,Second Owner,27.39,1248,74.0,190.0,5,TEST,2000.0
336,hyundai i,2015,600000,35000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7,5,TEST,4000.0
337,mercedes benz,2013,1550000,25000,Diesel,Individual,Automatic,First Owner,14.84,2143,170.0,400.0,5,TEST,2800.0
338,maruti alto,2007,118000,110000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,TEST,3000.0
339,tata manza,2011,88000,97343,Diesel,Dealer,Manual,First Owner,18.8,1248,90.0,200.0,5,TEST,3000.0
340,mahindra xuv,2011,590000,80000,Diesel,Individual,Manual,Third Owner,15.1,2179,140.0,330.0,7,TEST,2800.0
341,maruti ritz,2012,300000,70000,Diesel,Individual,Manual,First Owner,23.2,1248,73.94,190.0,5,TEST,2000.0
342,hyundai i,2012,290000,27000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,111.7,5,TEST,4000.0
343,maruti swift,2016,500000,32000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,113.0,5,TEST,4200.0
344,mahindra scorpio,2011,484999,80000,Diesel,Individual,Manual,Second Owner,13.5,2179,115.0,277.5,5,TEST,2200.0
345,tata manza,2012,310000,86000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,200.0,5,TEST,3000.0
346,hyundai santro,2018,500000,25000,Petrol,Individual,Manual,First Owner,20.3,1086,68.0,99.0,5,TEST,4500.0
347,maruti wagon,2006,150000,100000,Petrol,Individual,Manual,Second Owner,14.0,1061,64.0,84.3402,5,TEST,3500.0
348,hyundai verna,2014,755000,29340,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,259.8,5,TEST,2750.0
349,maruti alto,2015,210000,50000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,69.0,5,TEST,3500.0
350,tata hexa,2017,1282000,45000,Diesel,Individual,Manual,First Owner,17.6,2179,153.86,400.0,7,TEST,2500.0
351,maruti ciaz,2017,810000,47747,Diesel,Dealer,Manual,First Owner,28.09,1248,88.5,200.0,5,TEST,1750.0
352,tata zest,2019,650000,15000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,190.0,5,TEST,3000.0
353,mahindra bolero,2009,400000,170000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,180.0,7,TEST,1500.0
354,mahindra bolero,2011,340000,100000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,180.0,7,TEST,1500.0
355,hyundai verna,2009,210000,90000,Diesel,Individual,Manual,Second Owner,18.1,1493,110.0,235.368,5,TEST,2750.0
356,tata indigo,2013,210000,120000,Petrol,Individual,Manual,First Owner,15.64,1193,64.1,100.0,5,TEST,2700.0
357,hyundai i,2014,550000,76000,Diesel,Dealer,Manual,First Owner,22.54,1396,88.73,219.7,5,TEST,2750.0
358,toyota innova,2017,1748999,33019,Diesel,Dealer,Manual,First Owner,13.68,2393,147.8,343.0,7,TEST,2800.0
359,mahindra tuv,2015,430000,110000,Diesel,Individual,Manual,Second Owner,18.49,1493,100.0,240.0,7,TEST,2800.0
360,maruti alto,2017,325000,3564,Petrol,Individual,Manual,First Owner,23.95,998,67.05,90.0,5,TEST,3500.0
361,hyundai elantra,2016,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,177.5,5,TEST,4700.0
362,mitsubishi pajero,2011,625000,120000,Diesel,Individual,Manual,Second Owner,10.5,2835,116.9,292.0,6,TEST,2000.0
363,maruti celerio,2019,490000,7000,Petrol,Individual,Manual,First Owner,21.63,998,67.0,90.0,5,TEST,3500.0
364,mercedes benz,2017,2700000,23000,Diesel,Dealer,Automatic,First Owner,17.9,2143,136.0,300.0,5,TEST,3000.0
365,datsun go,2016,325000,70000,Petrol,Individual,Manual,Second Owner,19.44,1198,67.0,104.0,7,TEST,4000.0
366,renault kwid,2016,300000,66693,Petrol,Dealer,Manual,First Owner,25.17,799,53.3,72.0,5,TEST,4386.0
367,maruti alto,2018,270000,20000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,69.0,5,TEST,3500.0
368,mahindra bolero,2012,430000,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195.0,7,TEST,2200.0
369,maruti baleno,2018,740000,38817,Diesel,Dealer,Manual,First Owner,27.39,1248,74.0,190.0,5,TEST,2000.0
370,hyundai eon,2012,222000,120000,LPG,Individual,Manual,First Owner,21.1,814,55.2,74.5,5,TEST,4000.0
371,mahindra scorpio,2006,250000,120000,Diesel,Individual,Manual,Third Owner,10.5,2179,120.0,290.0,8,TEST,2800.0
372,toyota etios,2011,300000,110000,Petrol,Individual,Manual,First Owner,17.6,1496,88.73,132.0,5,TEST,3000.0
373,maruti baleno,2018,750000,15000,Petrol,Individual,Manual,First Owner,21.1,998,100.5,150.0,5,TEST,4500.0
374,renault duster,2015,600000,136000,Diesel,Individual,Manual,First Owner,19.01,1461,108.45,248.0,5,TEST,2250.0
375,ford figo,2011,302000,103000,Diesel,Individual,Manual,Third Owner,20.0,1399,68.0,160.0,5,TEST,2000.0
376,maruti ciaz,2015,650000,26000,Petrol,Individual,Manual,First Owner,20.73,1373,91.1,130.0,5,TEST,4000.0
377,honda city,2014,560000,72000,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,200.0,5,TEST,1750.0
378,hyundai santro,2018,475000,7800,Petrol,Individual,Manual,First Owner,20.3,1086,68.0,99.0,5,TEST,4500.0
379,honda city,2016,925000,22000,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,145.0,5,TEST,4600.0
380,hyundai i,2017,731000,40000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7,5,TEST,2750.0
381,maruti std,2000,31000,56194,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796,37.0,59.0,4,TEST,2500.0
382,maruti alto,2009,155000,54000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,62.0,5,TEST,3000.0
383,skoda rapid,2015,300000,101500,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,250.0,5,TEST,2500.0
384,volvo v,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,350.0,5,TEST,2750.0
385,hyundai xcent,2015,391000,55000,Diesel,Dealer,Manual,First Owner,24.4,1120,71.0,180.4,5,TEST,2500.0
386,lexus es,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,202.0,5,TEST,5200.0
387,mahindra xuv,2015,1100000,110000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,330.0,7,TEST,2800.0
388,mahindra scorpio,2011,400000,110000,Diesel,Individual,Manual,Second Owner,12.05,2179,120.0,290.0,8,TEST,2800.0
389,mahindra scorpio,2017,950000,52236,Diesel,Dealer,Manual,First Owner,15.4,2179,120.0,280.0,7,TEST,2800.0
390,maruti alto,2015,350000,38000,Petrol,Individual,Automatic,Second Owner,23.95,998,67.05,90.0,5,TEST,3500.0
391,mahindra scorpio,2014,550000,126000,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,290.0,7,TEST,2800.0
392,tata safari,2015,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,320.0,7,TEST,3000.0
393,maruti swift,2012,625000,100000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,190.0,5,TEST,2000.0
394,tata sumo,2002,96000,120000,Diesel,Individual,Manual,First Owner,14.07,2956,83.1,250.0,7,TEST,2000.0
395,maruti zen,2007,70000,80000,Petrol,Individual,Manual,Second Owner,18.2,1061,64.0,84.0,5,TEST,3500.0
396,skoda rapid,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,153.0,5,TEST,3800.0
397,maruti celerio,2015,400000,60000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,90.0,5,TEST,3500.0
398,maruti swift,2014,360000,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,190.0,5,TEST,2000.0
399,tata nexon,2019,1140000,10000,Diesel,Individual,Automatic,First Owner,21.5,1497,108.5,260.0,5,TEST,2750.0
400,tata indigo,2011,150000,120000,Diesel,Individual,Manual,First Owner,23.03,1396,69.0,140.0,5,TEST,3000.0
401,maruti ertiga,2016,940000,50000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,200.0,7,TEST,1750.0
402,maruti ac,1999,80000,80000,Petrol,Individual,Manual,Third Owner,16.1,796,37.0,59.0,4,TEST,2500.0
403,maruti alto,2014,200000,43381,Petrol,Dealer,Manual,Second Owner,22.74,796,47.3,69.0,5,TEST,3500.0
404,hyundai verna,2016,710000,40000,Diesel,Individual,Manual,First Owner,24.8,1396,88.7,219.7,5,TEST,2750.0
405,tata nano,2010,55000,50000,Petrol,Individual,Manual,Third Owner,26.0,624,35.0,48.0,4,TEST,500.0
406,hyundai venue,2019,1125000,3500,Petrol,Dealer,Automatic,First Owner,18.15,998,118.35,171.6,5,TEST,4000.0
407,ford figo,2010,400000,30000,Petrol,Individual,Manual,First Owner,15.6,1196,70.0,102.0,5,TEST,4000.0
408,maruti swift,2008,235000,152500,Diesel,Individual,Manual,First Owner,17.8,1248,75.0,190.0,5,TEST,2000.0
409,tata nexon,2018,850000,9500,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,260.0,5,TEST,2750.0
410,maruti alto,2005,180000,49455,Petrol,Individual,Manual,First Owner,19.7,796,46.3,62.0,5,TEST,3000.0
411,hyundai i,2010,350000,90000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,219.6768,5,TEST,2750.0
412,maruti eeco,2016,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196,73.0,101.0,7,TEST,3000.0
413,ford ikon,2003,130000,80000,Petrol,Individual,Manual,Third Owner,14.2,1597,92.0,1274.91,5,TEST,2500.0
414,tata indica,2012,175000,90000,Diesel,Individual,Manual,Third Owner,19.4,1405,70.0,135.4,5,TEST,2500.0
415,mahindra xuv,2019,1090000,16500,Petrol,Dealer,Manual,First Owner,17.0,1197,110.0,200.0,5,TEST,3500.0
416,maruti swift,2014,465000,120000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,190.0,5,TEST,2000.0
417,mahindra bolero,2014,650000,65000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,195.0,7,TEST,2200.0
418,maruti vitara,2017,880000,25000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5,TEST,1750.0
419,maruti sx,2010,285000,155000,Petrol,Individual,Manual,Second Owner,15.5,1586,103.3,145.0,5,TEST,4100.0
420,toyota fortuner,2012,1680000,129627,Diesel,Dealer,Manual,First Owner,11.5,2982,171.0,343.0,7,TEST,3400.0
421,volkswagen vento,2012,280000,120000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,250.0,5,TEST,2500.0
422,ford figo,2012,300000,54000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,160.0,5,TEST,2000.0
423,maruti alto,2005,90000,100000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,62.0,5,TEST,3000.0
424,tata indica,2014,225000,120000,Diesel,Individual,Manual,First Owner,22.3,1248,74.0,190.0,5,TEST,3000.0
425,tata indica,2007,65000,120000,Diesel,Individual,Manual,Third Owner,17.2,1396,53.5,83.3595,5,TEST,2500.0
426,mahindra xuv,2015,850000,173000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,330.0,7,TEST,2800.0
427,mahindra scorpio,2011,550000,80000,Diesel,Individual,Manual,Second Owner,12.05,2179,120.0,290.0,9,TEST,2800.0
428,maruti wagon,2013,300000,57000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,90.0,5,TEST,3500.0
429,maruti wagon,2015,390000,40000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,90.0,5,TEST,3500.0
430,hyundai xcent,2019,500000,60000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,113.75,5,TEST,4000.0
431,honda jazz,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,110.0,5,TEST,4800.0
432,tata tiago,2017,425000,42000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,114.0,5,TEST,3500.0
433,maruti alto,2006,100000,42500,Petrol,Individual,Manual,First Owner,19.7,796,46.3,62.0,5,TEST,3000.0
434,maruti baleno,2017,550000,46000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,115.0,5,TEST,4000.0
435,honda brio,2014,290000,60000,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8,109.0,5,TEST,4500.0
436,chevrolet cruze,2011,360000,100000,Diesel,Individual,Manual,First Owner,18.3,1991,147.9,327.0,5,TEST,2600.0
437,renault koleos,2013,1000000,75010,Diesel,Dealer,Automatic,First Owner,13.73,1995,148.0,320.0,5,TEST,2000.0
438,tata aria,2013,525000,110000,Diesel,Individual,Manual,Second Owner,13.7,2179,138.1,320.0,7,TEST,2700.0
439,hyundai creta,2017,957000,60000,Diesel,Individual,Manual,First Owner,21.38,1396,88.7,219.7,5,TEST,2750.0
440,volvo xc,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969,190.0,400.0,5,TEST,400.0
441,mahindra bolero,2011,390000,120000,Diesel,Individual,Manual,Fourth & Above Owner,13.6,2523,63.0,180.0,7,TEST,1500.0
442,maruti alto,2020,350000,5000,Petrol,Individual,Manual,First Owner,22.05,796,47.3,69.0,5,TEST,3500.0
443,hyundai eon,2012,195000,80000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5,5,TEST,4000.0
